#,Priority,Segment,Area,Company name,Name for messages,Companies House number,Companies House link,Accounts type,Incorporated,Registered address,Postcode,Group entities collapsed,Also in earlier 933 research list (not messaged),Nearest pitch,Walk to nearest (min),Lead-with pitch,Walk to lead-with pitch (min),Other pitches within 19 min,Latitude,Longitude
384,3,Fund / asset manager,City of London,Global Infrastructure Management LLP,Global Infrastructure Management,OC347017,https://find-and-update.company-information.service.gov.uk/company/OC347017,Full,07/07/2009,"C/O Tmf Group, 13Th Floor, One Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
385,3,Fund / asset manager,City of London,Hidden Road Partners UK LLP,Hidden Road Partners,OC425449,https://find-and-update.company-information.service.gov.uk/company/OC425449,Full,02/01/2019,"1 Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
386,3,Fund / asset manager,City of London,Metage Capital Limited,Metage Capital,03525123,https://find-and-update.company-information.service.gov.uk/company/03525123,Full,11/03/1998,"C/O Tmf Group, 13Th Floor, One Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
387,3,Fund / asset manager,City of London,Partners Wealth Management LLP,Partners Wealth Management,OC307751,https://find-and-update.company-information.service.gov.uk/company/OC307751,Full,24/04/2004,"1 Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
388,3,Fund / asset manager,City of London,Rockhold Asset Management Limited,Rockhold Asset Management,02442391,https://find-and-update.company-information.service.gov.uk/company/02442391,Full,13/11/1989,"1 Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
389,3,Fund / asset manager,City of London,Seven Investment Management LLP,Seven Investment Management,OC378740,https://find-and-update.company-information.service.gov.uk/company/OC378740,Full,24/09/2012,"1 Angel Court, London",EC2R 7HJ,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.515312,-0.087494
390,3,Fund / asset manager,City of London,Shard Capital Partners LLP,Shard Capital Partners,OC360394,https://find-and-update.company-information.service.gov.uk/company/OC360394,Full,20/12/2010,"36-38 Cornhill, London",EC3V 3NG,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.513275,-0.086095
391,3,Fund / asset manager,City of London,Timeline Portfolios Ltd,Timeline Portfolios,11557205,https://find-and-update.company-information.service.gov.uk/company/11557205,Full,06/09/2018,"70 Gracechurch Street, London",EC3V 0HR,1,,Liverpool St - Attlee Centre,17.0,Liverpool St - Attlee Centre,17.0,,51.512066,-0.084791
392,3,Fund / asset manager,City of London,CarVal Investors GB LLP,CarVal Investors GB,OC383433,https://find-and-update.company-information.service.gov.uk/company/OC383433,Full,15/03/2013,"60 London Wall, 5Th Floor, London",EC2M 5SJ,1,,Liverpool St - Attlee Centre,15.7,Shoreditch Powerleague,17.1,Shoreditch Powerleague (17.1),51.516838,-0.08681
393,3,Fund / asset manager,City of London,NYL Investments UK LLP,NYL Investments,OC380999,https://find-and-update.company-information.service.gov.uk/company/OC380999,Full,13/12/2012,"Tower 42, 25 Old Broad Street, London",EC2N 1HQ,1,,Liverpool St - Attlee Centre,13.3,Shoreditch Powerleague,17.2,Shoreditch Powerleague (17.2),51.515264,-0.083994
394,3,Fund / asset manager,City of London,Dexia Management Services Limited,Dexia Management,01935154,https://find-and-update.company-information.service.gov.uk/company/01935154,Full,01/08/1985,"6Th Floor, Salisbury House, London Wall, London",EC2M 5QQ,1,Dexia Management Services,Liverpool St - Attlee Centre,16.5,Shoreditch Powerleague,17.3,Shoreditch Powerleague (17.3),51.517228,-0.087572
395,3,Fund / asset manager,City of London,Francisco Partners Operations LLP,Francisco Partners Operations,OC362112,https://find-and-update.company-information.service.gov.uk/company/OC362112,Full,23/02/2011,"Birchin Court 5Th Floor, 19-25 Birchin Lane, London",EC3V 9DU,1,,Liverpool St - Attlee Centre,17.5,Liverpool St - Attlee Centre,17.5,,51.512817,-0.086186
396,3,Fund / asset manager,City of London,Thornbridge Investment Management LLP,Thornbridge Investment Management,OC398922,https://find-and-update.company-information.service.gov.uk/company/OC398922,Full,18/03/2015,"13 Austin Friars, London",EC2N 2HE,1,,Liverpool St - Attlee Centre,14.8,Shoreditch Powerleague,17.5,Shoreditch Powerleague (17.5),51.515894,-0.085711
397,3,Advisory / accountancy,City of London,Dr J H Burgoyne & Partners Limited Liability Partnership,Dr J H Burgoyne & Partners,OC300263,https://find-and-update.company-information.service.gov.uk/company/OC300263,Full,18/06/2001,"11-12 Half Moon Court, Bartholomew Close, London",EC1A 7HF,1,,Old St - Moreland Primary School,17.6,Old St - Moreland Primary School,17.6,,51.519123,-0.097871
398,3,Fund / asset manager,City of London,Clearance Capital Limited,Clearance Capital,06760235,https://find-and-update.company-information.service.gov.uk/company/06760235,Full,27/11/2008,"3 Copthall Avenue, London",EC2R 7BH,1,,Liverpool St - Attlee Centre,17.6,Liverpool St - Attlee Centre,17.6,,51.5157,-0.088126
399,3,Fund / asset manager,City of London,DB Investment Partners Limited,DB Investment Partners,13679854,https://find-and-update.company-information.service.gov.uk/company/13679854,Full,14/10/2021,"21 Moorfields, London",EC2Y 9DB,1,,Shoreditch Powerleague,17.6,Shoreditch Powerleague,17.6,Liverpool St - Attlee Centre (18.3),51.51837,-0.089168
400,3,Advisory / accountancy,City of London,EY Advisory Netherlands LLP,EY Advisory Netherlands,OC425442,https://find-and-update.company-information.service.gov.uk/company/OC425442,Full,02/01/2019,"1 More London Place, London",SE1 2AF,1,,Bermondsey Riverside,17.7,Bermondsey Riverside,17.7,,51.505336,-0.081269
